component_type,instance_count
IfcAirTerminal,1440
IfcAirTerminalBox,1
IfcAlarm,16
IfcAudioVisualAppliance,38
IfcBeam,130716
IfcBoiler,10
IfcBuildingElementPart,36
IfcBuildingElementProxy,358
IfcCableCarrierFitting,12260
IfcCableCarrierSegment,69961
IfcChiller,22
IfcChimney,1
IfcCivilElement,46
IfcCoil,286
IfcColumn,38428
IfcCommunicationsAppliance,6
IfcCompressor,1
IfcCondenser,2
IfcController,16
IfcCoolingTower,10
IfcCovering,37895
IfcCurtainWall,5667
IfcDamper,3031
IfcDiscreteAccessory,2367
IfcDistributionChamberElement,2
IfcDistributionControlElement,38
IfcDoor,3765
IfcDuctFitting,34249
IfcDuctSegment,127576
IfcDuctSilencer,791
IfcElectricAppliance,33
IfcElectricFlowStorageDevice,2
IfcElectricGenerator,4
IfcElectricMotor,1
IfcEnergyConversionDevice,451
IfcFan,20
IfcFastener,5
IfcFilter,189
IfcFireSuppressionTerminal,249
IfcFlowController,440
IfcFlowInstrument,221
IfcFlowMeter,111
IfcFlowMovingDevice,778
IfcFlowSegment,50
IfcFlowStorageDevice,174
IfcFlowTerminal,2
IfcFlowTreatmentDevice,109
IfcFooting,1996
IfcFurniture,204
IfcGeographicElement,39
IfcHeatExchanger,16
IfcInterceptor,21
IfcLightFixture,357
IfcMechanicalFastener,206
IfcMember,3164
IfcOutlet,41
IfcPile,174
IfcPipeFitting,35887
IfcPipeSegment,479004
IfcPlate,829
IfcProtectiveDeviceTrippingUnit,3
IfcPump,208
IfcRailing,5904
IfcRamp,527
IfcRampFlight,198
IfcReinforcingBar,5
IfcRoof,644
IfcSanitaryTerminal,843
IfcSensor,30
IfcShadingDevice,41
IfcSlab,49484
IfcSolarDevice,3
IfcSpaceHeater,4
IfcStair,3749
IfcStairFlight,5086
IfcSwitchingDevice,55
IfcSystemFurnitureElement,3
IfcTank,83
IfcTendon,154
IfcTendonAnchor,1
IfcTransformer,7
IfcTransportElement,70
IfcValve,1583
IfcWall,146183
IfcWallStandardCase,10281
IfcWindow,1784
